Date,Close
03/01/2011,223.63
04/01/2011,222.37
05/01/2011,221
06/01/2011,226.5
07/01/2011,224.26
10/01/2011,223.67
11/01/2011,220.79
12/01/2011,217.67
13/01/2011,229.64
14/01/2011,234.89
18/01/2011,232.7
19/01/2011,229.33
20/01/2011,223.04
21/01/2011,223.63
24/01/2011,220.46
25/01/2011,221.99
26/01/2011,217.74
27/01/2011,225.52
28/01/2011,219.43
31/01/2011,218.92
01/02/2011,221.9
02/02/2011,228.9
03/02/2011,239.22
04/02/2011,246.31
07/02/2011,247.55
08/02/2011,247.26
09/02/2011,252.51
10/02/2011,256.63
11/02/2011,268.73
14/02/2011,272.95
15/02/2011,265.58
16/02/2011,264.01
17/02/2011,265.54
18/02/2011,260.15
22/02/2011,251.9
23/02/2011,244.19
24/02/2011,245.3
25/02/2011,248.36
28/02/2011,245
01/03/2011,241.15
02/03/2011,242.82
03/03/2011,246.85
04/03/2011,255
07/03/2011,252.56
08/03/2011,249.67
09/03/2011,251.41
10/03/2011,253.22
11/03/2011,252.76
14/03/2011,255.25
15/03/2011,258
16/03/2011,258.22
17/03/2011,251.66
18/03/2011,246.81
21/03/2011,247.5
22/03/2011,243.89
23/03/2011,246.98
24/03/2011,250.98
25/03/2011,256.74
28/03/2011,257.96
29/03/2011,266.12
30/03/2011,272.2
31/03/2011,272.37
01/04/2011,274
04/04/2011,273.91
05/04/2011,278.02
06/04/2011,275.76
07/04/2011,274.7
08/04/2011,269.24
11/04/2011,268.41
12/04/2011,274.3
13/04/2011,281.31
14/04/2011,282.91
15/04/2011,285.13
18/04/2011,283.37
19/04/2011,279.85
20/04/2011,288.1
21/04/2011,277.3
25/04/2011,272.65
26/04/2011,264.94
27/04/2011,263
28/04/2011,265.64
29/04/2011,266.79
02/05/2011,267.08
03/05/2011,260.41
04/05/2011,260.53
05/05/2011,265.77
06/05/2011,268.1
09/05/2011,266.41
10/05/2011,269.85
11/05/2011,274.3
12/05/2011,275.88
13/05/2011,280.4
16/05/2011,272.69
17/05/2011,274.51
18/05/2011,278.75
19/05/2011,281.12
20/05/2011,279.89
23/05/2011,283.33
24/05/2011,280.57
25/05/2011,284.11
26/05/2011,290.88
27/05/2011,292.94
31/05/2011,289.07
01/06/2011,285.56
02/06/2011,285.79
03/06/2011,286.51
06/06/2011,280.74
07/06/2011,281.3
08/06/2011,277.11
09/06/2011,277.87
10/06/2011,271.87
13/06/2011,270.9
14/06/2011,276.77
15/06/2011,277.3
16/06/2011,271.81
17/06/2011,268.97
20/06/2011,276.05
21/06/2011,285.25
22/06/2011,284.46
23/06/2011,290.78
24/06/2011,293.25
27/06/2011,301.46
28/06/2011,304.72
29/06/2011,304.46
30/06/2011,308.19
01/07/2011,315.72
05/07/2011,321.45
06/07/2011,324.94
07/07/2011,328.49
08/07/2011,325.3
11/07/2011,320.69
12/07/2011,319.71
13/07/2011,325.18
14/07/2011,324.63
15/07/2011,324.6
18/07/2011,327.99
19/07/2011,333.71
20/07/2011,330.02
21/07/2011,328.22
22/07/2011,335.52
25/07/2011,334.46
26/07/2011,331.4
27/07/2011,322.74
28/07/2011,324.16
29/07/2011,324.58
01/08/2011,327.55
02/08/2011,320.65
03/08/2011,325.58
04/08/2011,311.4
05/08/2011,311.52
08/08/2011,291.7
09/08/2011,302.56
10/08/2011,299.76
11/08/2011,316.28
12/08/2011,317.7
15/08/2011,319.68
16/08/2011,315.89
17/08/2011,309.44
18/08/2011,284.5
19/08/2011,279.37
22/08/2011,273.2
23/08/2011,294.56
24/08/2011,296.46
25/08/2011,289.24
26/08/2011,298.88
29/08/2011,305.25
30/08/2011,311.21
31/08/2011,313.37
01/09/2011,309.17
02/09/2011,305.5
06/09/2011,310.43
07/09/2011,308.69
08/09/2011,311.34
09/09/2011,305.17
12/09/2011,307.75
13/09/2011,311.41
14/09/2011,315.91
15/09/2011,316.15
16/09/2011,318.06
19/09/2011,336.14
20/09/2011,333.19
21/09/2011,333.25
22/09/2011,325.94
23/09/2011,320.5
26/09/2011,329.44
27/09/2011,320.61
28/09/2011,319.06
29/09/2011,313.14
30/09/2011,302.95
03/10/2011,292.7
04/10/2011,301.09
05/10/2011,300.79
06/10/2011,298.99
07/10/2011,294.59
10/10/2011,307.85
11/10/2011,309.95
12/10/2011,314
13/10/2011,317.31
14/10/2011,320.8
17/10/2011,319.79
18/10/2011,319.85
19/10/2011,310.27
20/10/2011,307.91
21/10/2011,333.49
24/10/2011,342.49
25/10/2011,334.18
26/10/2011,332.85
27/10/2011,343.52
28/10/2011,341.4
31/10/2011,336.12
01/11/2011,328.18
02/11/2011,329.62
03/11/2011,337.5
04/11/2011,338.97
07/11/2011,339.16
08/11/2011,339.87
09/11/2011,332.84
10/11/2011,325.88
11/11/2011,332.02
14/11/2011,327.03
15/11/2011,327.46
16/11/2011,316.67
17/11/2011,313.61
18/11/2011,311.06
21/11/2011,305.58
22/11/2011,308.38
23/11/2011,300.45
25/11/2011,300.75
28/11/2011,309.55
29/11/2011,312.97
30/11/2011,321.56
01/12/2011,323.04
02/12/2011,330.49
05/12/2011,336.21
06/12/2011,331.43
07/12/2011,336.75
08/12/2011,334.74
09/12/2011,338.6
12/12/2011,340.22
13/12/2011,329.51
14/12/2011,321.11
15/12/2011,318.52
16/12/2011,318.4
19/12/2011,317.77
20/12/2011,331.72
21/12/2011,334.06
22/12/2011,331.25
23/12/2011,335.32
27/12/2011,339
28/12/2011,340.14
29/12/2011,340.77
30/12/2011,337.74
