Date,Close
02/01/2013,146.09
03/01/2013,145.77
04/01/2013,146.38
07/01/2013,145.965
08/01/2013,145.54
09/01/2013,145.95
10/01/2013,147.07
11/01/2013,147.11
14/01/2013,146.96
15/01/2013,147.04
16/01/2013,147.04
17/01/2013,147.92
18/01/2013,148.33
22/01/2013,149.0901
23/01/2013,149.37
24/01/2013,149.38
25/01/2013,150.2
28/01/2013,150.04
29/01/2013,150.67
30/01/2013,150.1
31/01/2013,149.81
01/02/2013,151.22
04/02/2013,149.54
05/02/2013,151.06
06/02/2013,151.17
07/02/2013,150.94
08/02/2013,151.78
11/02/2013,151.76
12/02/2013,152.01
13/02/2013,152.16
14/02/2013,152.29
15/02/2013,152.149
19/02/2013,153.22
20/02/2013,151.31
21/02/2013,150.41
22/02/2013,151.84
25/02/2013,149.01
26/02/2013,150.01
27/02/2013,151.91
28/02/2013,151.61
01/03/2013,152.13
04/03/2013,152.87
05/03/2013,154.31
06/03/2013,154.51
07/03/2013,154.79
