date,fgindex
05/07/2011,57.75931498
06/07/2011,56.48889656
07/07/2011,41.70201162
08/07/2011,45.22493205
09/07/2011,38.85620529
10/07/2011,34.18121824
11/07/2011,29.82561484
12/07/2011,28.99791839
16/07/2011,35.80605576
17/07/2011,33.33791296
18/07/2011,36.99622246
19/07/2011,46.9263723
20/07/2011,50.56138023
21/07/2011,48.47454648
24/07/2011,48.40625028
25/07/2011,40.47929298
26/07/2011,25.37061445
27/07/2011,24.21875994
28/07/2011,19.97568425
30/07/2011,15.03104235
31/07/2011,13.20162529
01/08/2011,11.56538892
02/08/2011,8.933033969
03/08/2011,4.654443647
06/08/2011,1.086745871
10/08/2011,1.350274064
11/08/2011,4.500368145
12/08/2011,5.855232659
14/08/2011,7.706784877
15/08/2011,10.09846123
18/08/2011,4.182975642
19/08/2011,6.04374108
22/08/2011,4.701711647
23/08/2011,8.482024525
24/08/2011,11.81509122
25/08/2011,15.4988592
26/08/2011,17.06538437
28/08/2011,18.48790878
29/08/2011,21.26550981
30/08/2011,24.05995764
31/08/2011,26.69189445
05/09/2011,27.88828555
06/09/2011,30.64745041
09/09/2011,22.75384583
10/09/2011,26.03957786
11/09/2011,22.12678732
12/09/2011,24.66737417
13/09/2011,29.14594255
14/09/2011,36.65887957
15/09/2011,38.46762596
16/09/2011,39.9758206
17/09/2011,27.12225747
19/09/2011,35.99730936
20/09/2011,33.60900274
21/09/2011,25.55197006
23/09/2011,26.82121398
26/09/2011,28.20469468
27/09/2011,26.79859287
28/09/2011,24.76139163
01/10/2011,19.96874858
02/10/2011,18.35548913
04/10/2011,28.88074829
05/10/2011,22.37655022
06/10/2011,32.20017392
07/10/2011,37.21355137
09/10/2011,38.42243048
10/10/2011,39.9712756
13/10/2011,38.22872258
14/10/2011,40.82000891
16/10/2011,42.49629582
17/10/2011,43.61406284
18/10/2011,47.44183157
19/10/2011,52.86171383
21/10/2011,54.17321078
22/10/2011,57.12946887
23/10/2011,63.43011153
24/10/2011,65.14737617
25/10/2011,54.15635709
26/10/2011,70.0497223
27/10/2011,68.71394679
29/10/2011,58.63224587
30/10/2011,64.88060285
31/10/2011,62.07364112
01/11/2011,58.27094563
02/11/2011,60.30555622
05/11/2011,63.73244494
06/11/2011,65.18905685
07/11/2011,55.51735736
08/11/2011,60.02828
10/11/2011,62.07173222
11/11/2011,60.58094191
13/11/2011,59.07660143
14/11/2011,57.71804638
15/11/2011,54.42172146
16/11/2011,53.19528653
17/11/2011,50.01076516
18/11/2011,48.02886378
19/11/2011,46.55516267
21/11/2011,43.64572634
22/11/2011,38.72939979
26/11/2011,44.52136605
27/11/2011,61.79763842
28/11/2011,56.24189096
29/11/2011,67.57861588
04/12/2011,66.89198613
05/12/2011,68.06304218
06/12/2011,62.49029642
07/12/2011,63.65887654
08/12/2011,61.65998552
09/12/2011,70.2303406
10/12/2011,67.53706448
11/12/2011,64.77594665
12/12/2011,58.52581409
13/12/2011,57.0037282
14/12/2011,62.16708632
17/12/2011,60.99777901
18/12/2011,63.36893583
19/12/2011,70.53334667
20/12/2011,73.91588114
21/12/2011,76.73208437
22/12/2011,79.06936579
27/12/2011,77.10371387
28/12/2011,73.37711683
31/12/2011,74.59617675
02/01/2012,77.08090348
06/01/2012,77.23736717
08/01/2012,79.97684595
09/01/2012,81.51951039
11/01/2012,83.30846461
15/01/2012,84.09536319
16/01/2012,87.09316081
18/01/2012,89.7464395
19/01/2012,88.45446364
22/01/2012,89.9376426
23/01/2012,87.17328267
24/01/2012,85.64870786
25/01/2012,84.02577924
27/01/2012,83.01156897
28/01/2012,81.41448193
31/01/2012,83.73680814
01/02/2012,86.07402896
05/02/2012,88.7590202
08/02/2012,86.85189057
09/02/2012,85.37812885
10/02/2012,83.58712889
12/02/2012,85.25883775
13/02/2012,83.42938433
14/02/2012,80.16718328
15/02/2012,82.06732054
16/02/2012,81.29477961
19/02/2012,80.03111377
21/02/2012,78.66843619
26/02/2012,78.30219575
28/02/2012,76.28390408
