symbol,date,change,action
UNH,02/15/2007,68.78034223,new
UNP,02/15/2007,160.251656,increase
AMP,05/16/2007,-48.23298375,decrease
BNI,05/16/2007,115.549185,increase
BUD,05/16/2007,-2.345582057,decrease
CMCSK,05/16/2007,50,increase
IRM,05/16/2007,50,increase
JNJ,05/16/2007,97.91775117,increase
NSC,05/16/2007,60.89210307,increase
SNY,05/16/2007,69.60081883,increase
UNP,05/16/2007,28.03366134,increase
WU,05/16/2007,-1.32,decrease
AMP,08/15/2007,-41.19854386,decrease
BAC,08/15/2007,12.60920996,new
BNI,08/15/2007,12.64180583,increase
DOWJB,08/15/2007,4.73766701,new
JNJ,08/15/2007,9.206190821,increase
MDLZ,08/15/2007,72.71363485,new
NKE,08/15/2007,100,increase
NSC,08/15/2007,-40.95209656,decrease
PG,08/15/2007,5.2468,increase
PIR,08/15/2007,-100,decrease
SNY,08/15/2007,326.1538926,increase
TYC,08/15/2007,-36.898,decrease
UNH,08/15/2007,369.9432152,increase
UNP,08/15/2007,-29.50509365,decrease
USB,08/15/2007,59.1146379,increase
WLP,08/15/2007,9.93948818,new
WU,08/15/2007,-67.57194974,decrease
AMP,11/15/2007,-42.45774285,decrease
BAC,11/15/2007,4.597701149,increase
BNI,11/15/2007,35.75323817,increase
CDCO,11/15/2007,0.946538309,increase
COP,11/15/2007,-2.393787525,decrease
DOWJB,11/15/2007,128.0826803,increase
FDC,11/15/2007,-100,decrease
JNJ,11/15/2007,15.92128138,increase
KMX,11/15/2007,69.24904022,new
MDLZ,11/15/2007,54.06014043,increase
NKE,11/15/2007,-4.4875,decrease
NSC,11/15/2007,-48.55074392,decrease
PG,11/15/2007,0.570278621,increase
PTR,11/15/2007,-100,decrease
svm,11/15/2007,-100,decrease
TT,11/15/2007,-0.906650275,decrease
TYC,11/15/2007,-100,decrease
UNH,11/15/2007,25,increase
UNP,11/15/2007,-39.91526339,decrease
USB,11/15/2007,76.59363706,increase
WHI,11/15/2007,30.75095978,new
WLP,11/15/2007,-100,decrease
WU,11/15/2007,-100,decrease
AMP,02/15/2008,-54.32046951,decrease
BNI,02/15/2008,14.81251392,increase
DOWJB,02/15/2008,-100,decrease
GSK,02/15/2008,10.52155916,new
IRM,02/15/2008,-48.45294739,decrease
JNJ,02/15/2008,0.238770219,increase
KMX,02/15/2008,50.19525383,increase
MDLZ,02/15/2008,23.50064225,increase
SNY,02/15/2008,1.1108326,increase
TT,02/15/2008,70.78325379,new
USB,02/15/2008,3.193754143,increase
WBC,02/15/2008,18.69518706,new
WHI,02/15/2008,-100,decrease
AMP,05/16/2008,-100,decrease
BNI,05/16/2008,4.860525154,increase
IR,05/16/2008,47.12535344,increase
IRM,05/16/2008,-27.69570531,decrease
KMX,05/16/2008,1.428571429,increase
SNY,05/16/2008,0.471385093,increase
TT,05/16/2008,-0.551886448,decrease
UNH,05/16/2008,6.666666667,increase
USB,05/16/2008,1.552338121,increase
BUD,08/15/2008,-61.0693076,decrease
COP,08/15/2008,240.9048073,increase
IR,08/15/2008,501.8150758,increase
NRG,08/15/2008,100,new
SNY,08/15/2008,8.843702612,increase
TT,08/15/2008,-100,decrease
UNP,08/15/2008,100,increase
BAC,11/17/2008,-45.05494505,decrease
CDCO,11/17/2008,0.033227863,increase
COP,11/17/2008,40.65775365,increase
ETN,11/17/2008,100,new
HD,11/17/2008,-11.50442478,decrease
KMX,11/17/2008,-13.40798122,decrease
LOW,11/17/2008,-7.142857143,decrease
NRG,11/17/2008,54.41153763,increase
UNH,11/17/2008,-0.3140625,decrease
USB,11/17/2008,6.27427601,increase
BNI,02/17/2009,9.883780961,increase
BUD,02/17/2009,-100,decrease
CEG,02/17/2009,83.19384314,new
COP,02/17/2009,-4.835314535,decrease
ETN,02/17/2009,10.01478324,increase
IR,02/17/2009,38.07259696,increase
JNJ,02/17/2009,-53.66877702,decrease
KMX,02/17/2009,-4.378635987,decrease
NLC,02/17/2009,16.80615686,new
NRG,02/17/2009,44,increase
PG,02/17/2009,-9.004497057,decrease
UNH,02/17/2009,-1.252370727,decrease
USB,02/17/2009,-7.384031008,decrease
BNI,05/18/2009,9.540899294,increase
CEG,05/18/2009,-25.47636813,decrease
COP,05/18/2009,-10.8492883,decrease
JNJ,05/18/2009,13.6214026,increase
KMX,05/18/2009,-31.95928897,decrease
NLC,05/18/2009,2.985433283,increase
UNH,05/18/2009,-28.57142857,decrease
UNP,05/18/2009,7.320907254,increase
USB,05/18/2009,2.20276623,increase
WLP,05/18/2009,100,new
BDX,08/17/2009,58.88951393,new
CEG,08/17/2009,-100,decrease
COP,08/17/2009,-9.465839154,decrease
ETN,08/17/2009,-37.5,decrease
HD,08/17/2009,-25.46221622,decrease
JNJ,08/17/2009,13.55242171,increase
KMX,08/17/2009,-25,decrease
UNH,08/17/2009,-24.44444444,decrease
WLP,08/17/2009,-100,decrease
XOM,08/17/2009,41.11048607,new
COP,11/16/2009,-10.94131652,decrease
ETN,11/16/2009,-100,decrease
NRG,11/16/2009,-16.66666667,decrease
NSRGY,11/16/2009,35.96658274,new
RSG,11/16/2009,23.86677179,new
TRV,11/16/2009,0.333471583,new
WBC,11/16/2009,-100,decrease
WLP,11/16/2009,39.83317389,new
WMT,11/16/2009,89.71155669,increase
XOM,11/16/2009,49.3627778,increase
BDX,02/16/2010,25,increase
COP,02/16/2010,-34.33533052,decrease
IR,02/16/2010,-27.57433249,decrease
IRM,02/16/2010,107.5796216,increase
JNJ,02/16/2010,-26.49942639,decrease
KMX,02/16/2010,-11.11111111,decrease
NSC,02/16/2010,-100,decrease
PG,02/16/2010,-9.149672002,decrease
RSG,02/16/2010,128.7034483,increase
UNH,02/16/2010,-65.44117647,decrease
UNP,02/16/2010,-100,decrease
WLP,02/16/2010,-60.40849528,decrease
WMT,02/16/2010,3.172850276,increase
XOM,02/16/2010,-66.95108478,decrease
BDX,05/17/2010,16.2752,increase
